x,y
1.9863522717363056,2.6022507993318595
1.6178515549185748,1.1796741807335698
1.0835280079309617,2.1179510171840903
1.9534694071468597,1.0115044112272327
2.555721689088301,2.311076749811214
2.332067203286654,2.6522501546985637
2.4920687088025284,2.977822489477758
1.3363108403318797,1.0005943004101059
1.7053444603598216,1.0932718656576104
1.332926750951014,2.157807975085751
8.061532023274708,8.686727740732223
8.726116087948501,8.686568060558734
8.727681511125708,8.909550216366263
8.57421543469302,8.737483112673427
8.504975473413511,8.104543024772944
7.940692756917034,7.209371217973951
8.854105022734435,7.646589964383295
8.822664029383017,8.852960278167757
7.400760091288889,8.553748617398305
8.54665334741899,7.3859103437982085
